disease,cause,symptoms,treatment,prevention
"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha.",Tectona,,,
"4.3 Common diseases
Teak saplings are prone to fungal and bacterial diseases and mature wood slightly shows resistance, however. The teak associated fungal pathogens include OIivicia sp., Rhizoctonia sp., Alternaria sp., Cercospora sp.Phomopsis sp., Fusarium sp., Phytophthora sp. etc. Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas.",OIivicia sp,,,
"4.4 Major pathological problems in Teak
4.4.1       Leaf rust (Olivea tectonae)

Symptoms:

Infected leaves show small angular brown to grey necrotic lesions on the upper surface.",Small angular brown to grey necrotic lesions on the upper surface,,,
"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil. The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago. Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions. In India, teak forests cover an area of 11.41 M ha.",11,41 M ha,,
"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil.",Hardwood species,,,
"4.2 Distribution
The teak plantation also naturalized in Java, Indonesia, where it was probably introduced about 400 to 600 years ago.","Java, Indonesia",,,
"4.2 Distribution
Tectona grandis L. (Teak) considered as one of the world's premier hardwood species which is primarily distributed throughout India, Myanmar, Thailand, Nigeria, and Brazil.",Tectona grandis L,,,
"4.3 Common diseases
Among various diseases reported, foliar diseases mainly leaf rust, leaf blight and leaf spot are the most common ones in many areas.",Leaf rust,,,
"4.3 Common diseases
Recently, a new brown leaf spot disease of teak caused by Alternaria alternata reported from China.",China,,,
"4.3 Common diseases
Recently, a new brown leaf spot disease of teak caused by Alternaria alternata reported from China.",Alternaria alternata,,,
"4.4 Major pathological problems in Teak
4.4.1 Leaf rust (Olivea tectonae)
Symptoms:

Infected leaves show small angular brown to grey necrotic lesions on the upper surface
Lesions coalesce to form larger necrotic areas
Yellowish orange powdery pustules on the upper leaf surface of the necrotic areas",Infected leaves show small angular brown to grey necrotic lesions on the upper surface, Lesions coalesce to form larger necrotic areas, Yellowish orange powdery pustules on the upper leaf surface of the necrotic areas,
"4.3 Common diseases
Teak saplings are prone to fungal and bacterial diseases and mature wood slightly shows resistance, however. The teak associated fungal pathogens include OIivicia sp., Rhizoctonia sp., Alternaria sp., Cercospora sp.Phomopsis sp., Fusarium sp., Phytophthora sp. etc.",Rhizoctonia sp,,,
"4.3 Common diseases
Pathogens like Rhizoctonia solani, Botryodiplodia theobromae and Aspergillus niger were also found to cause disease in teak plantations.",Rhizoctonia solani,,,
"4.3 Common diseases
For the first time, Tomato Chlorosis Virus was reported to be infecting teak in association with insect vector whitefly (Bemisia tabaci) in Brazil.",Whitefly (Bemisia tabaci),,,
"4.3 Common diseases
Pseudomonas tectonae causing seedling wilt in teak became the important bacterial disease.",Pseudomonas tectonae,,,
"4.2 Distribution
Teak has been introduced in different parts of the world outside its natural occurrence in South-east Asia, Pacific, East and West Africa, the Caribbean, South America, and Central America regions.","Pacific, East and West Africa",,,
"4.4 Major pathological problems in Teak
4.4.1 Leaf rust (Olivea tectonae)
Symptoms:
Yellowish orange powdery pustules on the upper leaf surface of the necrotic areas.",Yellowish orange,,,
"4.4 Major pathological problems in Teak
4.4.1 Leaf rust (Olivea tectonae)
Symptoms:
Yellowish orange powdery pustules on the upper leaf surface of the necrotic areas.",Yellowish orange powdery pustules appear on the upper leaf surface of necrotic areas,,,
"4.3 Common diseases
For the first time, new teak bacterial leaf spot caused by Xanthomonas fuscans from Brazil.",Teak bacterial leaf spot,,,
Management: Spatial deployment of resistant teak germplasm,Spatial deployment of resistant teak germplasm,,,
Management: Spray azoxystrobin 23% SC (1ml/litre) at recommended dose in infected nursery,Azoxystrobin 23% SC (1ml/litre),,,
"Symptoms: Yellowing of leaves, wilting and defoliation","Yellowing of leaves, wilting and defoliation",,,
"Symptoms: Affected trees produce dark rusty brown velvety band of fungal mycelium develops at the collar butt region, followed by typical die-back basal root rot","Affected trees show a dark rusty brown velvety band of fungal mycelium at the collar butt region, followed by typical die-back basal root rot",,,
Symptoms: Bark depression at the root collar,Bark depression at the root collar,,,
Management: Less usage of sprinkler irrigation,Less usage of sprinkler irrigation helps to reduce the spread of waterborne pathogens and disease,,,
Management: Spray neem oil (2ml/litre) as protectant,Neem oil (2ml/litre),,,
Symptoms: Disease occur in patches in nursery beds especially during seedling stage,Especially during the seedling stage,,,
"Symptoms: Selective decay in the fiber cells, ray cells to induce degradation, delignification and creating erosion channels in the wood, swollen boles, branch stubs, dead branches are indicators heart rots",,"of heart rot include selective decay in fiber cells and ray cells, leading to degradation, delignification, and erosion channels in the wood, swollen boles, branch stubs, and dead branches.",,
Management: Regular weeding and adopting clean cultivation practices,Regular weeding and adopting clean cultivation practices,,,
Symptoms: Bark depression at the root collar,Root collar rot,,,
Management: Burning the infected seedlings,Burning the infected seedlings is a management practice to control the spread of disease,,,
Management: Pruning and thinning in younger plantations,Pruning and thinning in younger plantations,,,
"Symptoms: Selective decay in the fiber cells, ray cells to induce degradation, delignification",Selective decay in fiber cells and ray cells,,,
Management: Spray azoxystrobin 23% SC (1ml/litre) at recommended dose in infected nursery,Azoxystrobin acts as a fungicide that helps control fungal diseases by disrupting the mitochondrial respiration in fungi,,,
Symptoms: Disease occur in patches in nursery beds especially during seedling stage,During the seedling stage,,,
Management: Spatial deployment of resistant teak germplasm,It helps in reducing the spread of disease by using disease-resistant variants of teak,,,
Symptoms: Affected trees produce dark rusty brown velvety band of fungal mycelium develops at the collar butt region,A dark rusty brown velvety band of fungal mycelium develops,,,
"Symptoms: Affected trees produce dark rusty brown velvety band of fungal mycelium develops at the collar butt region, followed by typical die-back basal root rot","Affected trees produce a dark rusty brown velvety band of fungal mycelium at the collar butt region, followed by die-back of the basal root",,,
Management: Spray neem oil (2ml/litre) as protectant,Using neem oil as a protective organic spray,,,
High temperature and drought areas for nursery preparation should be avoided,High temperature and drought areas,,,
The wound needs to be treated with Bordeaux paste for preventing the entry of rot fungi,Bordeaux paste,,,
It is suggested to do soil drenching with Thiophanate methyl (0.5 ml/litre) and Dithane M-45 (2g/litre) for 10 x 1 metre bed,Thiophanate methyl and Dithane M-45,,,
Symptoms: Pre- and post-emergence mortality in nurseries,Pre- and post-emergence mortality in nurseries,,,
Site selected for raising saplings must be elevated with proper ventilation along with sanitation and appropriate drainage,"Elevated with proper ventilation, sanitation, and appropriate drainage",,,
"Infected foliage produces dark brown necrotic spots usually in the leaf margin, base of the petiole or in the leaf tips",Infected foliage,,,
Spray neem oil (2ml/litre) as protectant,Neem oil,,,
Hexaconazole 5% EC (1.5 ml/litre) spray with 10-15 days interval can check the spread in severely affected nurseries,Hexaconazole 5%,,,
Infected leaves show upward curling and may become brittle and finally wither,"Upward curling, brittleness, and withering",,,
Later spots will fuse to form larger necrotic areas and spread entire leaf lamina,Fusion of spots,,,
Infected and dead saplings must be disposed safely as the pathogen is soil-borne and can sustain in soils for longer duration,Disposed safely,,,
Transplanting in polyethylene bags and regular watering can revert the diseased condition,Reverts diseased conditions,,,
Preventing wounds or injuries caused by fire or other biotic interference can protect plants from disease,Preventing wounds or injuries,,,
Spray Propiconazole 25% EC 1 ml/litre in severely infected nurseries,Propiconazole 25% EC,,,
"Since many rot causing pathogens are soil borne, it is suggested to do soil drenching with Thiophanate methyl",Rot causing pathogens,,,
"Infected foliage produces dark brown necrotic spots usually in the leaf margin, base of the petiole or in the leaf tips",Dark brown necrotic spots,,,
Arrange saplings in rows with proper spacing in the nurseries,Proper spacing in rows,,,
Later spots will fuse to form larger necrotic areas and spread entire leaf lamina,Form larger necrotic areas,,,
Avoid excess urea application,Avoid excess urea application,,,
Teak powdery mildew (Uncinula tectonae),Uncinula tectonae,,,
Spray Azoxystrobin 23% SC @ 1 ml/litre,1 ml/litre,,,
Sulphur dusting is proven to be effective,Sulphur dusting,,,
Neem leaf extract/neem oil 2ml/litre spray during morning hours to inhibit the disease spread,Neem oil,,,
Small patches of whitish powdery masses on the upper surface of teak leaves with corresponding chlorotic lesions on the lower surface,Chlorotic lesions,,,
Proper sanitation around the trees before the rains,Proper sanitation,,,
White powdery patches turn brown to black at later stage,White powdery patches turn brown to black,,,
Nectar stage: orange spore structures develop,Stem canker,,,
Small patches of whitish powdery masses on the upper surface of teak leaves with corresponding chlorotic lesions on the lower surface,,include small patches of whitish powdery masses on the upper surface and chlorotic lesions on the lower surface of teak leaves.,,
Pink encrustation stage: cankers will be covered in pinkish fruiting structures,"In the pink encrustation stage, cankers are covered in pinkish fruiting structures",,,
Cobweb stage: a layer of vegetative mycelium (under wet conditions),Wet conditions promote the cobweb stage symptom in Stem canker,,,
"Die back of terminal shoot; in severe cases, the plants die too.",The terminal shoot dies back and the entire plant may die in severe cases,,,
"Sunken areas on main stem and branch cankers, bark swelling and splitting symptoms also appear in later stage",,appearing later.,,
Neem leaf extract/neem oil 2ml/litre spray during morning hours to inhibit the disease spread,Spraying 2 ml/litre of neem leaf extract or neem oil during the morning hours,,,
Spray Azoxystrobin 23% SC @ 1 ml/litre,Azoxystrobin 23% SC at a concentration of 1 ml/litre,,,
Proper sanitation around the trees before the rains,Ensuring proper sanitation around the trees before the rains,,,
Cobweb stage: a layer of vegetative mycelium (under wet conditions),The cobweb stage involves the formation of a vegetative mycelium layer under wet conditions,,,
White powdery patches turn brown to black at later stage,The white powdery patches found on the upper surface of teak leaves turn brown to black over time,,,
Nectar stage: orange spore structures develop,"During the nectar stage, orange spore structures develop",,,
